"domain","total_queries","eval_mode","model_name","mean_reward","mean_coverage","mean_extra_domains","mean_num_agents","mean_num_edges","save_path","accuracy","errors_no_side_effects","errors_with_side_effects"
"calendar","110","api","deepseek-v4-flash","0.506","1.0","3.5455","2.0455","1.0727","data/mas_rl/results\calendar\api_grpo_api_greedy_architecture_2026-06-05_15-10-29.csv","84.55","12.73","2.73"
"email","90","api","deepseek-v4-flash","0.4324","0.9778","3.8667","1.9778","0.9778","data/mas_rl/results\email\api_grpo_api_greedy_architecture_2026-06-05_15-25-50.csv","51.11","44.44","4.44"
"analytics","120","api","deepseek-v4-flash","0.2088","0.8083","3.5583","1.8167","0.8167","data/mas_rl/results\analytics\api_grpo_api_greedy_architecture_2026-06-05_15-56-13.csv","42.5","19.17","38.33"
"project_management","80","api","deepseek-v4-flash","0.4521","1.0","3.9","2.0","1.0","data/mas_rl/results\project_management\api_grpo_api_greedy_architecture_2026-06-05_16-13-39.csv","77.5","1.25","21.25"
"customer_relationship_manager","80","api","deepseek-v4-flash","-0.7786","0.45","4.975","2.0","1.0","data/mas_rl/results\customer_relationship_manager\api_grpo_api_greedy_architecture_2026-06-05_16-50-11.csv","30.0","60.0","10.0"
"multi_domain","210","api","deepseek-v4-flash","0.7867","0.9532","2.481","2.0","1.0","data/mas_rl/results\multi_domain\api_grpo_api_greedy_architecture_2026-06-05_18-18-01.csv","57.62","24.76","17.62"
